name|speaker|orth|translation|start|end
1782bea75c7d-6|Signer01|no one knew what to do|no one knew what to do|-1|-1
1782bea75c7d-12|Signer01|now read further|now read further|-1|-1
1782bea75c7d-15|Signer01|he did not touch the first line everyone in the court|he did not touch the first line everyone in the court|-1|-1
1782bea75c7d-24|Signer01|reading is fun|reading is fun|-1|-1
1782bea75c7d-26|Signer01|what did each minister do|what did each minister do|-1|-1
ee235596b76f-3|Signer01|the mouse and the pencil|the mouse and the pencil|-1|-1
ee235596b76f-5|Signer01|he found a pencil|he found a pencil|-1|-1
ee235596b76f-31|Signer01|describe the cat in your own words|describe the cat in your own words|-1|-1
ee235596b76f-46|Signer01|here is a sentence given below with some dots|here is a sentence given below with some dots|-1|-1
ee235596b76f-47|Signer01|connect the dots to complete the sentence a cat|connect the dots to complete the sentence a cat|-1|-1
7bccd31315d7-61|Signer01|here you can see a picture of a house|here you can see a picture of a house|-1|-1
7bccd31315d7-127|Signer01|and then orange o|and then orange o|-1|-1
7bccd31315d7-132|Signer01|and now p|and now p|-1|-1
7bccd31315d7-138|Signer01|here you can see picture of a dog|here you can see picture of a dog|-1|-1
7bccd31315d7-145|Signer01|dash dash b|dash dash b|-1|-1
006faf1f7c93-5|Signer01|and it went round and round|and it went round and round|-1|-1
006faf1f7c93-20|Signer01|now let read i ride|now let read i ride|-1|-1
006faf1f7c93-28|Signer01|where have you seen it would you like to go to a fair|where have you seen it would you like to go to a fair|-1|-1
006faf1f7c93-32|Signer01|talk about the things you enjoy at a fair|talk about the things you enjoy at a fair|-1|-1
006faf1f7c93-43|Signer01|circle the letters and say them out loud|circle the letters and say them out loud|-1|-1
62e79450f3da-19|Signer01|say aloud draw|say aloud draw|-1|-1
62e79450f3da-41|Signer01|only if you can color it you can find out many items like a bed|only if you can color it you can find out many items like a bed|-1|-1
62e79450f3da-47|Signer01|there are dash pictures on the wall|there are dash pictures on the wall|-1|-1
62e79450f3da-73|Signer01|in the first picture you can see a boy running or walking outside the school|in the first picture you can see a boy running or walking outside the school|-1|-1
62e79450f3da-75|Signer01|the boy is walking very dash|the boy is walking very dash|-1|-1
d2e656de0bda-4|Signer01|i often sit and wish that i|i often sit and wish that i|-1|-1
d2e656de0bda-13|Signer01|i love to sit under a tree page|i love to sit under a tree page|-1|-1
d2e656de0bda-19|Signer01|what would you like to be|what would you like to be|-1|-1
